training_start,training_end,country,specification_id,specification_order,p,d,q,P,D,Q,seasonal_period,trend,selected_d,selected_D,fit_status,convergence_status,optimizer_success,optimizer_status,optimizer_warnflag,optimizer_retry_count,converged,parameters_finite,standard_errors_finite,forecast_valid,stationarity_ok,invertibility_ok,nobs,effective_nobs,n_params,log_likelihood,aic,aicc,bic,ar_root_minimum,ma_root_minimum,residual_adequacy_rejected,residual_adequacy_reason,warning_messages,hard_warning_messages,error_message,model_valid,eligible
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q0_P1_D1_Q0_s24,7,0,0,0,1,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,2,-354914.22441421653,709832.4488284331,709832.4491709281,709849.3773195231,1.1621390186859855,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q0_P0_D1_Q1_s24,8,0,0,0,0,1,1,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,2,-354878.3169709367,709760.6339418734,709760.6342843685,709777.5624329635,inf,1.102272148554716,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q0_P1_D1_Q0_s24,9,1,0,0,1,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,3,-295624.12171667593,591254.2434333519,591254.2441183616,591279.636169987,1.0173599952548649,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q1_P0_D1_Q1_s24,10,0,0,1,0,1,1,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,3,-332387.2673214805,664780.534642961,664780.5353279707,664805.9273795962,inf,1.0000025839792575,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],combined MA roots fail invertibility threshold; reconstructed MA component roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q1_P1_D1_Q0_s24,11,1,0,1,1,1,0,24,n,0,1,success,converged,,,0,0,True,True,True,True,True,True,35064,35040,4,-287715.26267754164,575438.5253550833,575438.5264967987,575472.3823372634,1.0273909555344785,1.6831661713454764,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q1_P0_D1_Q1_s24,12,1,0,1,0,1,1,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,4,-283585.9838243486,567179.9676486972,567179.9687904126,567213.8246308774,1.0230504621102894,1.0063858899111833,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined MA roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p1_d0_q0_P0_D1_Q1_s24,13,1,0,0,0,1,1,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,3,-291447.37714700453,582900.7542940091,582900.7549790188,582926.1470306442,1.014389340244745,1.0048373665235957,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],combined MA roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Germany,sarima_p0_d0_q1_P1_D1_Q0_s24,14,0,0,1,1,1,0,24,n,0,1,failed,converged,,,0,0,True,True,True,True,True,False,35064,35040,3,-332453.59729357716,664913.1945871543,664913.1952721641,664938.5873237895,1.1361930609406152,1.0000017650253616,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed)."", ""UserWarning: Non-invertible starting MA parameters found. Using zeros as starting parameters.""]",[],combined MA roots fail invertibility threshold; reconstructed MA component roots fail invertibility threshold,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q0_P0_D0_Q0_s24,1,0,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,1,-254177.90355715112,508357.80711430224,508357.80722838914,508366.2720160246,inf,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q0_P0_D0_Q0_s24,2,1,1,0,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,2,-239045.90766969483,478095.81533938966,478095.8156816601,478112.7451428345,1.3152410222535498,inf,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p0_d1_q1_P0_D0_Q0_s24,3,0,1,1,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,2,-243329.92348747613,486663.84697495226,486663.8473172227,486680.7767783971,inf,1.5324659620981855,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
2020-01-01,2023-12-31,Austria,sarima_p1_d1_q1_P0_D0_Q0_s24,4,1,1,1,0,0,0,24,n,1,0,success,converged,,,0,0,True,True,True,True,True,True,35064,35063,3,-237791.10975764226,475588.2195152845,475588.22019984486,475613.61422045174,1.5117585971906886,3.688037235088584,True,joint Ljung-Box and residual ACF rule,"[""DeprecationWarning: Setting the shape on a NumPy array has been deprecated in NumPy 2.5.\nAs an alternative, you can create a new view using np.reshape (with copy=False if needed).""]",[],,False,False
