training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_statistic,24,134424.70020254407,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_pvalue,24,0.0,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_statistic,48,256304.23753921696,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q0_P0_D0_Q0_s24,0,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_pvalue,48,0.0,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,1,0.34550797773408887,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,2,-0.025797640366211128,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,3,-0.11925855507289986,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,4,-0.054897645190061774,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,5,-0.06963742761793373,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,6,-0.17605402660977265,0.05,True
