Time from [CET/CEST],Time to [CET/CEST],Load [MW]
2021-01-02 20:15:00,2021-01-02 20:30:00,7176.000
2021-01-02 20:30:00,2021-01-02 20:45:00,7060.000
2021-01-02 20:45:00,2021-01-02 21:00:00,6972.000
2021-01-02 21:00:00,2021-01-02 21:15:00,6848.000
2021-01-02 21:15:00,2021-01-02 21:30:00,6772.000
2021-01-02 21:30:00,2021-01-02 21:45:00,6676.000
2021-01-02 21:45:00,2021-01-02 22:00:00,6620.000
2021-01-02 22:00:00,2021-01-02 22:15:00,6844.000
2021-01-02 22:15:00,2021-01-02 22:30:00,6820.000
2021-01-02 22:30:00,2021-01-02 22:45:00,6688.000
2021-01-02 22:45:00,2021-01-02 23:00:00,6584.000
2021-01-02 23:00:00,2021-01-02 23:15:00,6508.000
2021-01-02 23:15:00,2021-01-02 23:30:00,6384.000
2021-01-02 23:30:00,2021-01-02 23:45:00,6264.000
2021-01-02 23:45:00,2021-01-03 00:00:00,6168.000
2021-01-03 00:00:00,2021-01-03 00:15:00,5940.000
2021-01-03 00:15:00,2021-01-03 00:30:00,5848.000
2021-01-03 00:30:00,2021-01-03 00:45:00,5736.000
2021-01-03 00:45:00,2021-01-03 01:00:00,5648.000
2021-01-03 01:00:00,2021-01-03 01:15:00,5624.000
2021-01-03 01:15:00,2021-01-03 01:30:00,5536.000
2021-01-03 01:30:00,2021-01-03 01:45:00,5460.000
2021-01-03 01:45:00,2021-01-03 02:00:00,5400.000
2021-01-03 02:00:00,2021-01-03 02:15:00,5500.000
2021-01-03 02:15:00,2021-01-03 02:30:00,5436.000
2021-01-03 02:30:00,2021-01-03 02:45:00,5372.000
2021-01-03 02:45:00,2021-01-03 03:00:00,5320.000
2021-01-03 03:00:00,2021-01-03 03:15:00,5304.000
2021-01-03 03:15:00,2021-01-03 03:30:00,5264.000
2021-01-03 03:30:00,2021-01-03 03:45:00,5244.000
2021-01-03 03:45:00,2021-01-03 04:00:00,5232.000
2021-01-03 04:00:00,2021-01-03 04:15:00,5256.000
2021-01-03 04:15:00,2021-01-03 04:30:00,5260.000
2021-01-03 04:30:00,2021-01-03 04:45:00,5288.000
2021-01-03 04:45:00,2021-01-03 05:00:00,5312.000
2021-01-03 05:00:00,2021-01-03 05:15:00,5380.000
2021-01-03 05:15:00,2021-01-03 05:30:00,5416.000
2021-01-03 05:30:00,2021-01-03 05:45:00,5472.000
2021-01-03 05:45:00,2021-01-03 06:00:00,5512.000
2021-01-03 06:00:00,2021-01-03 06:15:00,5500.000
2021-01-03 06:15:00,2021-01-03 06:30:00,5572.000
2021-01-03 06:30:00,2021-01-03 06:45:00,5652.000
2021-01-03 06:45:00,2021-01-03 07:00:00,5740.000
2021-01-03 07:00:00,2021-01-03 07:15:00,5820.000
2021-01-03 07:15:00,2021-01-03 07:30:00,5912.000
2021-01-03 07:30:00,2021-01-03 07:45:00,6004.000
2021-01-03 07:45:00,2021-01-03 08:00:00,6072.000
2021-01-03 08:00:00,2021-01-03 08:15:00,6160.000
2021-01-03 08:15:00,2021-01-03 08:30:00,6240.000
2021-01-03 08:30:00,2021-01-03 08:45:00,6344.000
2021-01-03 08:45:00,2021-01-03 09:00:00,6428.000
2021-01-03 09:00:00,2021-01-03 09:15:00,6516.000
2021-01-03 09:15:00,2021-01-03 09:30:00,6584.000
2021-01-03 09:30:00,2021-01-03 09:45:00,6644.000
2021-01-03 09:45:00,2021-01-03 10:00:00,6704.000
2021-01-03 10:00:00,2021-01-03 10:15:00,6764.000
2021-01-03 10:15:00,2021-01-03 10:30:00,6812.000
2021-01-03 10:30:00,2021-01-03 10:45:00,6856.000
2021-01-03 10:45:00,2021-01-03 11:00:00,6908.000
2021-01-03 11:00:00,2021-01-03 11:15:00,6948.000
2021-01-03 11:15:00,2021-01-03 11:30:00,7012.000
2021-01-03 11:30:00,2021-01-03 11:45:00,7000.000
2021-01-03 11:45:00,2021-01-03 12:00:00,6948.000
2021-01-03 12:00:00,2021-01-03 12:15:00,6932.000
