country,target_date,branch,specification_id,diagnostic,lag,value,threshold,flagged
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,16,-0.0192936699886402,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,17,-0.0172207783097522,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,18,0.0533823033228053,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,19,0.0229435448455436,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,2,-0.0286449282527082,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,20,0.0192899239130794,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,21,-0.0807665089624036,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,22,-0.059742118242829,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,23,0.05626848011444,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,24,0.1108045826377174,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,25,-0.0004578453703947,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,26,-0.025477271940692,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,27,-0.0047010392742647,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,28,0.036157133256451,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,29,0.0325370569512619,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,3,-0.1069170101884589,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,30,0.0112538648949423,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,31,-0.0156125357302172,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,32,-0.0599528184900718,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,33,-0.0544270725364078,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,34,-0.0743797578390574,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,35,0.0261329354284599,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,36,0.0105341168635519,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,37,-0.0216268037247916,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,38,0.0240197913152962,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,39,-0.0767052566733539,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,4,-0.0509863270696356,0.1941733059080797,False
Austria,2024-01-08,weekly_differenced,weekly_differenced_arima_p2_d0_q0,residual_acf,40,-0.0146929285616429,0.1941733059080797,False
