country,year,month,month_name,monthly_mean_actual_load_mwh,monthly_mean_actual_load_mwh_2021,monthly_deviation_pct,is_transition_month,summary_period
Austria,2024,3,March,6587.54,7530.65,-12.52,0,2024
Austria,2024,4,April,6281.88,7005.39,-10.33,0,2024
Austria,2024,5,May,5874.19,6601.38,-11.02,0,2024
Austria,2024,6,June,6120.89,6744.44,-9.25,0,2024
Austria,2024,7,July,6152.39,6736.44,-8.67,0,2024
Austria,2024,8,August,6076.27,6745.84,-9.93,0,2024
Austria,2024,9,September,6397.83,6774.97,-5.57,0,2024
Austria,2024,10,October,6718.85,7083.66,-5.15,0,2024
Austria,2024,11,November,7469.38,7474.80,-0.07,0,2024
Austria,2024,12,December,7635.00,8000.60,-4.57,0,2024
Austria,2025,1,January,7914.64,7800.11,1.47,0,2025
Austria,2025,2,February,7822.84,7748.21,0.96,0,2025
Austria,2025,3,March,6984.19,7530.65,-7.26,0,2025
Austria,2025,4,April,6261.74,7005.39,-10.62,0,2025
Austria,2025,5,May,6040.19,6601.38,-8.50,0,2025
Austria,2025,6,June,5932.26,6744.44,-12.04,0,2025
Austria,2025,7,July,6024.62,6736.44,-10.57,0,2025
Austria,2025,8,August,5943.63,6745.84,-11.89,0,2025
Austria,2025,9,September,6262.71,6774.97,-7.56,0,2025
Austria,2025,10,October,6773.15,7083.66,-4.38,0,2025
Austria,2025,11,November,7543.61,7474.80,0.92,0,2025
Austria,2025,12,December,7715.70,8000.60,-3.56,0,2025
