country,target_date,model,mae,rmse,mape,actual_min,actual_max,actual_mean,forecast_min,forecast_max,forecast_mean,forecast_negative_count,forecast_max_over_actual_max,profile_correlation,forecast_std_over_actual_std,actual_peak_local,forecast_peak_local
Austria,2024-10-27,reg_arima_h_d_m,425.9010762421736,492.3452953271783,8.020584390187539,4483.25,6621.0,5441.94,4075.048450714628,6513.162057282694,5517.861208003202,0,0.9837127408673454,0.8374965853478882,1.4235066798263685,2024-10-27T17:00:00+01:00,2024-10-27T11:00:00+01:00
Austria,2024-10-27,reg_arima_h_d_m_hol,466.8224395491184,641.3717642363205,8.473301668271198,4483.25,6621.0,5441.94,4417.11151614584,6855.265349262903,5860.010334659473,0,1.035382170255687,0.8375132896602175,1.4233969546476364,2024-10-27T17:00:00+01:00,2024-10-27T11:00:00+01:00
Germany,2024-02-15,reg_arima_h,3220.9963835648814,3525.1285678881736,5.8387463030163085,45412.5,65648.0,58304.21875,50385.60062482989,69438.98793545662,61522.03844639316,0,1.0577471961896268,0.9847601041208597,0.8959548550620429,2024-02-15T18:00:00+01:00,2024-02-15T11:00:00+01:00
Germany,2024-02-15,reg_arima_h_d,3129.6363006259066,3434.2980455185334,5.677911604107969,45412.5,65648.0,58304.21875,50286.08556657948,69339.49052751582,61422.37215903476,0,1.0562315764001313,0.9847643782720225,0.8959786116069237,2024-02-15T18:00:00+01:00,2024-02-15T11:00:00+01:00
Germany,2024-02-15,reg_arima_h_d_m,3130.855985927398,3435.519750612788,5.680070043510221,45412.5,65648.0,58304.21875,50287.52193428575,69340.82523363557,61423.70681060266,0,1.0562519076534786,0.9847642678569212,0.8959726980949563,2024-02-15T18:00:00+01:00,2024-02-15T11:00:00+01:00
Germany,2024-02-15,reg_arima_h_d_m_hol,3134.2735813801014,3438.893444277613,5.686075474036464,45412.5,65648.0,58304.21875,50291.19509156522,69344.557218285,61427.43243719687,0,1.0563087560669784,0.9847644959840661,0.8959772162496074,2024-02-15T18:00:00+01:00,2024-02-15T11:00:00+01:00
Germany,2024-03-31,reg_arima_h,9827.456822848615,10856.980019444096,26.007298654803932,32660.5,44419.25,37596.434782608696,35878.319919335896,54834.815767877386,47423.89160545731,0,1.234483152414266,0.7140961603095654,1.9955645439398253,2024-03-31T11:00:00+02:00,2024-03-31T11:00:00+02:00
Germany,2024-03-31,reg_arima_h_d,9861.162793178935,10887.671866120309,26.097598926330324,32660.5,44419.25,37596.434782608696,35912.98898957562,54868.8016814444,47457.59757578763,0,1.235248269195099,0.7140527074546684,1.995643746006626,2024-03-31T11:00:00+02:00,2024-03-31T11:00:00+02:00
Germany,2024-03-31,reg_arima_h_d_m,9858.369501444786,10885.11175603539,26.090126024072486,32660.5,44419.25,37596.434782608696,35910.347903234935,54866.01673641549,47454.80428405349,0,1.2351855723906975,0.7140552696902429,1.9956220192633602,2024-03-31T11:00:00+02:00,2024-03-31T11:00:00+02:00
Germany,2024-03-31,reg_arima_h_d_m_hol,9849.841286202085,10877.497964318047,26.067289712427467,32660.5,44419.25,37596.434782608696,35901.84190285281,54857.61797440199,47446.27606881077,0,1.2349964930610489,0.7140337188260248,1.995681427566907,2024-03-31T11:00:00+02:00,2024-03-31T11:00:00+02:00
Germany,2024-10-27,reg_arima_h,2160.3948601359284,2474.3405775499155,5.110712348789061,35613.25,51382.25,43842.08,33446.70092876389,52296.852537646446,44024.375850801756,0,1.0177999705666148,0.9385276817730843,1.2230948041986294,2024-10-27T18:00:00+01:00,2024-10-27T11:00:00+01:00
Germany,2024-10-27,reg_arima_h_d,2157.482903852165,2481.1397400264977,5.0970536963923765,35613.25,51382.25,43842.08,33522.66668451878,52372.11200247067,44099.51787418847,0,1.0192646682944142,0.9385228697836555,1.2231116969972853,2024-10-27T18:00:00+01:00,2024-10-27T11:00:00+01:00
