country,model_family,hour_of_day,n_observations,mae,rmse,mape
Germany,ARIMA,20,365,4657.904278847563,5760.5395885888165,8.360641118791184
Germany,ARIMA,21,365,4524.693897519157,5555.885742161366,8.62498010885912
Germany,ARIMA,22,365,5298.540929585737,6319.2050557587345,10.602560536261379
Germany,ARIMA,23,365,7374.450082111844,8508.61723514054,15.667284806596005
Germany,SARIMA,0,365,1527.9303996194299,2006.2263098409423,3.418284436611429
Germany,SARIMA,1,365,1546.9905453389529,2029.807962618555,3.579875204008981
Germany,SARIMA,2,365,1643.5782328152293,2128.7350382735626,3.88375196546492
Germany,SARIMA,3,365,1795.6471770406426,2307.30024682721,4.250342733505187
Germany,SARIMA,4,365,2100.3978187537127,2757.5675435850408,4.896014007435767
Germany,SARIMA,5,365,3048.6457463986303,4246.606041527634,6.813391298234645
Germany,SARIMA,6,365,4987.301251571031,7399.334945309766,10.190090495789592
Germany,SARIMA,7,365,5956.193624687778,8979.593189024805,11.359559013707466
Germany,SARIMA,8,365,5916.590635673393,8853.505109840116,10.66761180717731
Germany,SARIMA,9,365,5260.60973437957,7762.3725101879,9.20116579120832
Germany,SARIMA,10,365,4870.731882971242,7052.485960925206,8.43121959907268
Germany,SARIMA,11,365,4608.194676935219,6604.66919432422,7.938310289292772
Germany,SARIMA,12,365,4611.1332101409525,6550.606476062585,8.036793914126763
Germany,SARIMA,13,365,4793.63808120409,6763.041606243412,8.533897348444729
Germany,SARIMA,14,365,4763.866945941892,6707.452478021441,8.672323963100213
Germany,SARIMA,15,365,4643.352861866491,6580.717135051535,8.537392244215068
Germany,SARIMA,16,365,4399.8282495236,6216.730698545302,8.061361572188357
Germany,SARIMA,17,365,4090.27979411473,5749.604923608858,7.269668777484322
Germany,SARIMA,18,365,3920.936983133559,5436.305518830829,6.806597636173956
Germany,SARIMA,19,365,3918.7359320717633,5373.440926190609,6.822331721448963
Germany,SARIMA,20,365,3820.6959458969955,5158.968789716079,6.899858494961108
Germany,SARIMA,21,365,3679.186844151032,4778.626435935482,6.948370377049703
Germany,SARIMA,22,365,3396.612353850509,4213.947387883289,6.729005245360583
Germany,SARIMA,23,365,3106.4662121052497,3828.91287740913,6.542167821866529
Germany,Regression with ARIMA errors,0,365,3552.3997722310564,4395.618068720264,8.016189681772342
Germany,Regression with ARIMA errors,1,365,3603.508738549245,4469.740875817198,8.4476307440501
Germany,Regression with ARIMA errors,2,365,3589.6936740128017,4502.595941060589,8.57851692851404
Germany,Regression with ARIMA errors,3,365,3553.9313435048093,4474.5854916816115,8.479604226459177
Germany,Regression with ARIMA errors,4,365,3573.022989110725,4524.996679775099,8.323959030228572
Germany,Regression with ARIMA errors,5,365,3908.390125793576,4978.687615572682,8.58744504207531
Germany,Regression with ARIMA errors,6,365,5274.433015433938,6587.459748904951,10.660193374672442
Germany,Regression with ARIMA errors,7,365,6142.990955934944,7524.60864561546,11.778672826190794
Germany,Regression with ARIMA errors,8,365,5955.598042236317,7389.4381222315105,10.81601267525523
Germany,Regression with ARIMA errors,9,365,5206.763124919643,6626.520368051814,9.146383680112413
Germany,Regression with ARIMA errors,10,365,4809.4083757203625,6189.045854959285,8.345930189758151
Germany,Regression with ARIMA errors,11,365,4783.595854416565,6094.640644073551,8.257014619572617
Germany,Regression with ARIMA errors,12,365,4857.588955295113,6172.909987462632,8.5146871583812
